"filename","version","vuln_count","date"
"airdecap-ng","version_3.1.1",0,NA
"airdecap-ng","version_3.1",0,NA
"airdecap-ng","version_3.0",0,NA
"airdecap-ng","version_2.2.1",0,NA
"airdecap-ng","version_2.2",0,NA
"airdecap-ng","version_2.1.post1",80,NA
"airdecap-ng","version_2.1",80,NA
"airdecap-ng","version_2.0",80,NA
"airdecap-ng","version_1.1",80,NA
"airdecap-ng","version_1.0",0,NA
"grub-mkpasswd-pbkdf2","version_3.1.1",21,NA
"grub-mkpasswd-pbkdf2","version_3.1",0,NA
"grub-mkpasswd-pbkdf2","version_3.0",21,NA
"grub-mkpasswd-pbkdf2","version_2.2.1",21,NA
"grub-mkpasswd-pbkdf2","version_2.2",21,NA
"grub-mkpasswd-pbkdf2","version_2.1.post1",80,NA
"grub-mkpasswd-pbkdf2","version_2.1",80,NA
"grub-mkpasswd-pbkdf2","version_2.0",80,NA
"grub-mkpasswd-pbkdf2","version_1.1",80,NA
"grub-mkpasswd-pbkdf2","version_1.0",0,NA
"lsciphers","version_3.1.1",0,NA
"lsciphers","version_3.1",0,NA
"lsciphers","version_3.0",0,NA
"lsciphers","version_2.2.1",0,NA
"lsciphers","version_2.2",0,NA
"lsciphers","version_2.1.post1",0,NA
"lsciphers","version_2.1",0,NA
"lsciphers","version_2.0",0,NA
"lsciphers","version_1.1",0,NA
"lsciphers","version_1.0",0,NA
"top","version_3.1.1",0,NA
"top","version_3.1",0,NA
"top","version_3.0",0,NA
"top","version_2.2.1",0,NA
"top","version_2.2",0,NA
"top","version_2.1.post1",80,NA
"top","version_2.1",80,NA
"top","version_2.0",80,NA
"top","version_1.1",80,NA
"top","version_1.0",0,NA
"vim.tiny","version_3.1.1",0,NA
"vim.tiny","version_3.1",0,NA
"vim.tiny","version_3.0",0,NA
"vim.tiny","version_2.2.1",0,NA
"vim.tiny","version_2.2",0,NA
"vim.tiny","version_2.1.post1",80,NA
"vim.tiny","version_2.1",80,NA
"vim.tiny","version_2.0",80,NA
"vim.tiny","version_1.1",80,NA
"vim.tiny","version_1.0",0,NA
"preconv","version_3.1.1",0,NA
"preconv","version_3.1",0,NA
"preconv","version_3.0",0,NA
"preconv","version_2.2.1",0,NA
"preconv","version_2.2",0,NA
"preconv","version_2.1.post1",80,NA
"preconv","version_2.1",80,NA
"preconv","version_2.0",80,NA
"preconv","version_1.1",80,NA
"preconv","version_1.0",0,NA
"hexeditor","version_3.1.1",0,NA
"hexeditor","version_3.1",0,NA
"hexeditor","version_3.0",0,NA
"hexeditor","version_2.2.1",0,NA
"hexeditor","version_2.2",0,NA
"hexeditor","version_2.1.post1",80,NA
"hexeditor","version_2.1",80,NA
"hexeditor","version_2.0",80,NA
"hexeditor","version_1.1",80,NA
"hexeditor","version_1.0",0,NA
"post_spike","version_3.1.1",0,NA
"post_spike","version_3.1",0,NA
"post_spike","version_3.0",0,NA
"post_spike","version_2.2.1",0,NA
"post_spike","version_2.2",0,NA
"post_spike","version_2.1.post1",80,NA
"post_spike","version_2.1",80,NA
"post_spike","version_2.0",80,NA
"post_spike","version_1.1",80,NA
"post_spike","version_1.0",0,NA
"minicom","version_3.1.1",0,NA
"minicom","version_3.1",0,NA
"minicom","version_3.0",0,NA
"minicom","version_2.2.1",0,NA
"minicom","version_2.2",0,NA
"minicom","version_2.1.post1",90,NA
"minicom","version_2.1",90,NA
"minicom","version_2.0",90,NA
"minicom","version_1.1",90,NA
"minicom","version_1.0",0,NA
"ntpq","version_3.1.1",78,NA
"ntpq","version_3.1",0,NA
"ntpq","version_3.0",78,NA
"ntpq","version_2.2.1",34,NA
"ntpq","version_2.2",34,NA
"ntpq","version_2.1.post1",74,NA
"ntpq","version_2.1",74,NA
"ntpq","version_2.0",74,NA
"ntpq","version_1.1",74,NA
"ntpq","version_1.0",0,NA
"split","version_3.1.1",0,NA
"split","version_3.1",0,NA
"split","version_3.0",0,NA
"split","version_2.2.1",0,NA
"split","version_2.2",0,NA
"split","version_2.1.post1",80,NA
"split","version_2.1",80,NA
"split","version_2.0",80,NA
"split","version_1.1",80,NA
"split","version_1.0",0,NA
"chsh","version_3.1.1",0,NA
"chsh","version_3.1",0,NA
"chsh","version_3.0",0,NA
"chsh","version_2.2.1",0,NA
"chsh","version_2.2",0,NA
"chsh","version_2.1.post1",90,NA
"chsh","version_2.1",90,NA
"chsh","version_2.0",90,NA
"chsh","version_1.1",90,NA
"chsh","version_1.0",0,NA
"gpgtar","version_3.1.1",0,NA
"gpgtar","version_3.1",0,NA
"gpgtar","version_3.0",0,NA
"gpgtar","version_2.2.1",0,NA
"gpgtar","version_2.2",0,NA
"gpgtar","version_2.1.post1",39,NA
"gpgtar","version_2.1",39,NA
"gpgtar","version_2.0",39,NA
"gpgtar","version_1.1",39,NA
"gpgtar","version_1.0",0,NA
"btrfs","version_3.1.1",0,NA
"btrfs","version_3.1",0,NA
"btrfs","version_3.0",0,NA
"btrfs","version_2.2.1",0,NA
"btrfs","version_2.2",0,NA
"btrfs","version_2.1.post1",97,NA
"btrfs","version_2.1",97,NA
"btrfs","version_2.0",97,NA
"btrfs","version_1.1",97,NA
"btrfs","version_1.0",0,NA
"sb","version_3.1.1",0,NA
"sb","version_3.1",0,NA
"sb","version_3.0",0,NA
"sb","version_2.2.1",0,NA
"sb","version_2.2",0,NA
"sb","version_2.1.post1",90,NA
"sb","version_2.1",90,NA
"sb","version_2.0",90,NA
"sb","version_1.1",90,NA
"sb","version_1.0",0,NA
"kismetdb_statistics","version_3.1.1",0,NA
"kismetdb_statistics","version_3.1",0,NA
"kismetdb_statistics","version_3.0",0,NA
"kismetdb_statistics","version_2.2.1",0,NA
"kismetdb_statistics","version_2.2",0,NA
"kismetdb_statistics","version_2.1.post1",80,NA
"kismetdb_statistics","version_2.1",80,NA
"kismetdb_statistics","version_2.0",80,NA
"kismetdb_statistics","version_1.1",80,NA
"kismetdb_statistics","version_1.0",0,NA
"grub-file","version_3.1.1",0,NA
"grub-file","version_3.1",0,NA
"grub-file","version_3.0",0,NA
"grub-file","version_2.2.1",0,NA
"grub-file","version_2.2",0,NA
"grub-file","version_2.1.post1",80,NA
"grub-file","version_2.1",80,NA
"grub-file","version_2.0",80,NA
"grub-file","version_1.1",80,NA
"grub-file","version_1.0",0,NA
"gpgv","version_3.1.1",0,NA
"gpgv","version_3.1",0,NA
"gpgv","version_3.0",0,NA
"gpgv","version_2.2.1",0,NA
"gpgv","version_2.2",0,NA
"gpgv","version_2.1.post1",39,NA
"gpgv","version_2.1",39,NA
"gpgv","version_2.0",39,NA
"gpgv","version_1.1",39,NA
"gpgv","version_1.0",0,NA
"man","version_3.1.1",0,NA
"man","version_3.1",0,NA
"man","version_3.0",0,NA
"man","version_2.2.1",0,NA
"man","version_2.2",0,NA
"man","version_2.1.post1",26,NA
"man","version_2.1",26,NA
"man","version_2.0",26,NA
"man","version_1.1",26,NA
"man","version_1.0",0,NA
"atk6-fuzz_ip6","version_3.1.1",0,NA
"atk6-fuzz_ip6","version_3.1",0,NA
"atk6-fuzz_ip6","version_3.0",0,NA
"atk6-fuzz_ip6","version_2.2.1",0,NA
"atk6-fuzz_ip6","version_2.2",0,NA
"atk6-fuzz_ip6","version_2.1.post1",80,NA
"atk6-fuzz_ip6","version_2.1",80,NA
"atk6-fuzz_ip6","version_2.0",80,NA
"atk6-fuzz_ip6","version_1.1",80,NA
"atk6-fuzz_ip6","version_1.0",0,NA
"g-ir-compiler","version_3.1.1",0,NA
"g-ir-compiler","version_3.1",0,NA
"g-ir-compiler","version_3.0",0,NA
"g-ir-compiler","version_2.2.1",0,NA
"g-ir-compiler","version_2.2",0,NA
"g-ir-compiler","version_2.1.post1",19,NA
"g-ir-compiler","version_2.1",19,NA
"g-ir-compiler","version_2.0",19,NA
"g-ir-compiler","version_1.1",19,NA
"g-ir-compiler","version_1.0",0,NA
"rctest","version_3.1.1",0,NA
"rctest","version_3.1",0,NA
"rctest","version_3.0",0,NA
"rctest","version_2.2.1",0,NA
"rctest","version_2.2",0,NA
"rctest","version_2.1.post1",80,NA
"rctest","version_2.1",80,NA
"rctest","version_2.0",80,NA
"rctest","version_1.1",80,NA
"rctest","version_1.0",0,NA
"networkctl","version_3.1.1",0,NA
"networkctl","version_3.1",0,NA
"networkctl","version_3.0",0,NA
"networkctl","version_2.2.1",0,NA
"networkctl","version_2.2",0,NA
"networkctl","version_2.1.post1",34,NA
"networkctl","version_2.1",34,NA
"networkctl","version_2.0",34,NA
"networkctl","version_1.1",34,NA
"networkctl","version_1.0",0,NA
