"version_3.1.1","version_3.1","version_3.0","version_2.2.1","version_2.2","version_2.1.post1","version_2.1","version_2.0","version_1.1","version_1.0","filename"
0,0,0,0,0,80,80,80,80,0,"airdecap-ng"
21,0,21,21,21,80,80,80,80,0,"grub-mkpasswd-pbkdf2"
0,0,0,0,0,0,0,0,0,0,"lsciphers"
0,0,0,0,0,80,80,80,80,0,"top"
0,0,0,0,0,80,80,80,80,0,"vim.tiny"
0,0,0,0,0,80,80,80,80,0,"preconv"
0,0,0,0,0,80,80,80,80,0,"hexeditor"
0,0,0,0,0,80,80,80,80,0,"post_spike"
0,0,0,0,0,90,90,90,90,0,"minicom"
78,0,78,34,34,74,74,74,74,0,"ntpq"
0,0,0,0,0,80,80,80,80,0,"split"
0,0,0,0,0,90,90,90,90,0,"chsh"
0,0,0,0,0,39,39,39,39,0,"gpgtar"
0,0,0,0,0,97,97,97,97,0,"btrfs"
0,0,0,0,0,90,90,90,90,0,"sb"
0,0,0,0,0,80,80,80,80,0,"kismetdb_statistics"
0,0,0,0,0,80,80,80,80,0,"grub-file"
0,0,0,0,0,39,39,39,39,0,"gpgv"
0,0,0,0,0,26,26,26,26,0,"man"
0,0,0,0,0,80,80,80,80,0,"atk6-fuzz_ip6"
0,0,0,0,0,19,19,19,19,0,"g-ir-compiler"
0,0,0,0,0,80,80,80,80,0,"rctest"
0,0,0,0,0,34,34,34,34,0,"networkctl"
0,0,0,0,0,80,80,80,80,0,"svn"
0,0,0,0,0,0,0,0,0,0,"vim"
0,0,0,0,0,80,80,80,80,0,"quake"
0,0,0,0,0,19,19,19,19,0,"mate-calc"
0,0,0,0,0,99,99,99,99,0,"zenity"
0,0,0,0,0,19,19,19,19,0,"ophcrack-cli"
58,0,58,58,58,138,138,138,138,0,"mariadb-check"
0,0,0,0,0,80,80,80,80,0,"systemd-tmpfiles"
0,0,0,0,0,26,26,26,26,0,"mandb"
0,0,0,0,0,80,80,80,80,0,"bully"
0,0,0,0,0,91,91,91,91,0,"desktop-file-install"
0,0,0,0,0,80,80,80,80,0,"sharkd"
0,0,0,0,0,80,80,80,80,0,"xdg-dbus-proxy"
0,0,0,0,0,80,80,80,80,0,"tshark"
0,0,0,0,0,39,39,39,39,0,"shuf"
0,0,0,0,0,75,75,75,75,0,"bwrap"
78,0,78,34,34,74,74,74,74,0,"ntpdc"
4,0,4,0,0,0,0,0,0,0,"pv"
4,0,4,0,0,0,0,0,0,0,"yasm"
0,0,0,0,0,80,80,80,80,0,"x86_64-linux-gnu-gcov-dump-10"
0,0,0,0,0,80,80,80,80,0,"groff"
0,0,0,0,0,80,80,80,80,0,"mkfifo"
0,0,0,0,0,80,80,80,80,0,"tcprewrite"
0,0,0,0,0,19,19,19,19,0,"xfwm4"
0,0,0,1,1,39,39,39,39,0,"gpgcompose"
0,0,0,0,0,80,80,80,80,0,"hexdump"
0,0,0,0,0,19,19,19,19,0,"aria_chk"
0,0,0,0,0,80,80,80,80,0,"lspci"
0,0,0,0,0,80,80,80,80,0,"bluetoothctl"
18,0,18,18,18,98,98,98,98,0,"nmblookup"
0,0,0,0,0,99,99,99,99,0,"mpris-proxy"
0,0,0,0,0,80,80,80,80,0,"wget"
0,0,0,0,0,76,76,76,76,0,"VBoxClient"
0,0,0,0,0,91,91,91,91,0,"svnserve"
0,0,0,0,0,91,91,91,91,0,"xfce4-clipman"
0,0,0,0,0,80,80,80,80,0,"editres"
21,0,21,21,21,80,80,80,80,0,"grub-render-label"
0,0,0,0,0,19,19,19,19,0,"cluster"
0,0,0,0,0,19,19,19,19,0,"aria_pack"
0,0,0,0,0,74,74,74,74,0,"xhydra"
0,0,0,0,0,80,80,80,80,0,"etterfilter"
0,0,0,0,0,80,80,80,80,0,"whirlpooldeep"
0,0,0,0,0,99,99,99,99,0,"ristretto"
18,0,18,18,18,117,117,117,117,0,"cifsdd"
0,0,0,0,0,99,99,99,99,0,"xclock"
0,0,0,0,0,21,21,21,21,0,"scalpel"
2,0,2,2,2,82,82,82,82,2,"x86_64-linux-gnu-objdump"
21,0,21,21,21,80,80,80,80,0,"grub-mount"
0,0,0,0,0,80,80,80,80,0,"atk6-firewall6"
4,0,4,0,0,0,0,0,0,0,"strings"
0,0,0,0,0,90,90,90,90,0,"sx"
0,0,0,0,0,97,97,97,97,0,"xman"
58,0,58,58,58,138,138,138,138,0,"mariadb-show"
0,0,0,0,0,80,80,80,80,0,"mingle"
0,0,0,0,0,90,90,90,90,0,"ping"
0,0,0,0,0,99,99,99,99,0,"atril"
0,0,0,0,0,97,97,97,97,0,"btrfstune"
0,0,0,0,0,99,99,99,99,0,"xfce4-panel"
2,0,2,2,2,82,82,82,82,2,"x86_64-linux-gnu-c++filt"
0,0,0,0,0,74,74,74,74,0,"kismet_cap_nrf_51822"
0,0,0,0,0,74,74,74,74,0,"sane-find-scanner"
0,0,0,0,0,90,90,90,90,0,"rendercheck"
0,0,0,0,0,80,80,80,80,0,"mariadbd-safe-helper"
0,0,0,0,0,0,0,0,0,0,"httptunnel-client"
0,0,0,0,0,90,90,90,90,0,"lscpu"
0,0,0,0,0,80,80,80,80,0,"mariadb-waitpid"
0,0,0,0,0,91,91,91,91,0,"desktop-file-validate"
4,0,4,0,0,0,0,0,0,0,"objdump"
0,0,0,0,0,39,39,39,39,0,"install"
0,0,0,0,0,80,80,80,80,0,"busctl"
0,0,0,0,0,21,21,21,21,0,"xtightvncviewer"
0,0,0,0,0,90,90,90,90,0,"dpkg-statoverride"
0,0,0,0,0,91,91,91,91,0,"xmllint"
0,0,0,0,0,80,80,80,80,0,"sbd"
4,0,4,0,0,80,80,80,80,0,"nslookup"
18,0,18,18,18,98,98,98,98,0,"net"
0,0,0,0,0,99,99,99,99,0,"obexctl"
0,0,0,0,0,74,74,74,74,0,"locale"
0,0,0,0,0,80,80,80,80,0,"xauth"
0,0,0,0,0,80,80,80,80,0,"rasm2"
0,0,0,0,0,80,80,80,80,0,"du"
0,0,0,0,0,90,90,90,90,0,"dpkg-deb"
0,0,0,0,0,80,80,80,80,0,"diff3"
0,0,0,0,0,0,0,0,0,0,"redir"
0,0,0,0,0,99,99,99,99,0,"pulseaudio"
4,0,4,0,0,80,80,80,80,0,"host"
0,0,0,0,0,80,80,80,80,0,"mm2gv"
0,0,0,0,0,74,74,74,74,0,"kismet_cap_nrf_mousejack"
0,0,0,0,0,80,80,80,80,0,"resolveip"
0,0,0,0,0,80,80,80,80,0,"webfuzz"
0,0,0,0,0,86,86,86,86,0,"logger"
0,0,0,0,0,74,74,74,74,0,"kismet_cap_rz_killerbee"
0,0,0,0,0,19,19,19,19,0,"reaver"
0,0,0,0,0,80,80,80,80,0,"ptx"
0,0,0,0,0,80,80,80,80,0,"sdptool"
0,0,0,0,0,80,80,80,80,0,"quakeserver"
0,0,0,0,0,80,80,80,80,0,"partx"
0,0,0,0,0,80,80,80,80,0,"msrpcfuzz_udp"
0,0,0,0,0,91,91,91,91,0,"xfce4-appearance-settings"
0,0,0,0,0,90,90,90,90,0,"dpkg-divert"
0,0,0,1,1,80,80,80,80,0,"gpg"
0,0,0,0,0,80,80,80,80,0,"ldapmodify"
0,0,0,0,0,80,80,80,80,0,"join"
58,0,58,58,58,79,79,79,79,0,"mariadb"
7,0,7,46,46,120,120,120,120,7,"ssh-keyscan"
0,0,0,0,0,80,80,80,80,0,"df"
0,0,0,0,0,74,74,74,74,0,"kismet_cap_ti_cc_2531"
0,0,0,0,0,80,80,80,80,0,"pstat"
0,0,0,0,0,80,80,80,80,0,"test"
0,0,0,0,0,80,80,80,80,0,"troff"
0,0,0,0,0,80,80,80,80,0,"lsblk"
0,0,0,0,0,80,80,80,80,0,"unrar-nonfree"
0,0,0,0,0,80,80,80,80,0,"Xtightvnc"
0,0,0,0,0,80,80,80,80,0,"csplit"
0,0,0,0,0,39,39,39,39,0,"udevadm"
0,0,0,0,0,74,74,74,74,0,"iconv"
0,0,0,0,0,80,80,80,80,0,"sunrpcfuzz"
0,0,0,0,0,80,80,80,80,0,"dns2tcpd"
0,0,0,0,0,80,80,80,80,0,"pidstat"
0,0,0,0,0,39,39,39,39,0,"sort"
0,0,0,0,0,80,80,80,80,0,"pmspike"
0,0,0,0,0,80,80,80,80,0,"kismetdb_to_wiglecsv"
0,0,0,0,0,80,80,80,80,0,"tcpbridge"
18,0,18,18,18,98,98,98,98,0,"rpcclient"
58,0,58,58,58,134,134,134,134,0,"mariadb-conv"
0,0,0,0,0,80,80,80,80,0,"dns2tcpc"
0,0,0,0,0,80,80,80,80,0,"my_print_defaults"
0,0,0,0,0,0,0,0,0,0,"packetq"
0,0,0,0,0,91,91,91,91,0,"ldapmodrdn"
4,0,4,0,0,0,0,0,0,0,"file"
0,0,0,0,0,80,80,80,80,0,"line_send_tcp"
