"filename","version","findings_count"
"X3proxy","version_0.4",969
"X3proxy","version_0.5",70
"X3proxy","version_0.6",73
"ab","version_0.4",45
"ab","version_0.5",10
"ab","version_0.6",10
"ag","version_0.4",2206
"ag","version_0.5",69
"ag","version_0.6",164
"airdecap.ng","version_0.4",174
"airdecap.ng","version_0.5",96
"airdecap.ng","version_0.6",54
"airolib.ng","version_0.4",93
"airolib.ng","version_0.5",41
"airolib.ng","version_0.6",41
"apt.cache","version_0.4",331
"apt.cache","version_0.5",86
"apt.cache","version_0.6",115
"apt.ftparchive","version_0.4",1084
"apt.ftparchive","version_0.5",433
"apt.ftparchive","version_0.6",420
"apt.mark","version_0.4",102
"apt.mark","version_0.5",40
"apt.mark","version_0.6",38
"ar","version_0.4",2500
"ar","version_0.5",0
"ar","version_0.6",0
"aria_chk","version_0.4",0
"aria_chk","version_0.5",0
"aria_chk","version_0.6",0
"aria_dump_log","version_0.4",3299
"aria_dump_log","version_0.5",807
"aria_dump_log","version_0.6",944
"aria_ftdump","version_0.4",3350
"aria_ftdump","version_0.5",824
"aria_ftdump","version_0.6",969
"aria_pack","version_0.4",3402
"aria_pack","version_0.5",819
"aria_pack","version_0.6",983
"aria_read_log","version_0.4",3987
"aria_read_log","version_0.5",869
"aria_read_log","version_0.6",1058
"arj","version_0.4",438
"arj","version_0.5",311
"arj","version_0.6",298
"aspell","version_0.4",605
"aspell","version_0.5",246
"aspell","version_0.6",333
"atk6.alive6","version_0.4",0
"atk6.alive6","version_0.5",0
"atk6.alive6","version_0.6",0
"atk6.dnsdict6","version_0.4",0
"atk6.dnsdict6","version_0.5",0
"atk6.dnsdict6","version_0.6",0
"atk6.fake_router26","version_0.4",95
"atk6.fake_router26","version_0.5",104
"atk6.fake_router26","version_0.6",113
"atk6.firewall6","version_0.4",87
"atk6.firewall6","version_0.5",95
"atk6.firewall6","version_0.6",94
"atk6.fragmentation6","version_0.4",22
"atk6.fragmentation6","version_0.5",0
"atk6.fragmentation6","version_0.6",0
"atk6.fragrouter6","version_0.4",77
"atk6.fragrouter6","version_0.5",85
"atk6.fragrouter6","version_0.6",110
"atk6.fuzz_dhcps6","version_0.4",92
"atk6.fuzz_dhcps6","version_0.5",111
"atk6.fuzz_dhcps6","version_0.6",107
"atk6.fuzz_ip6","version_0.4",84
"atk6.fuzz_ip6","version_0.5",115
"atk6.fuzz_ip6","version_0.6",126
"atk6.implementation6","version_0.4",81
"atk6.implementation6","version_0.5",119
"atk6.implementation6","version_0.6",103
"atk6.thcping6","version_0.4",0
"atk6.thcping6","version_0.5",0
"atk6.thcping6","version_0.6",0
"atk6.trace6","version_0.4",118
"atk6.trace6","version_0.5",82
"atk6.trace6","version_0.6",84
"atril","version_0.4",0
"atril","version_0.5",0
"atril","version_0.6",0
"atril.previewer","version_0.4",21
"atril.previewer","version_0.5",1
"atril.previewer","version_0.6",1
"axel","version_0.4",164
"axel","version_0.5",44
"axel","version_0.6",45
"b2sum","version_0.4",32
"b2sum","version_0.5",24
"b2sum","version_0.6",29
"basenc","version_0.4",19
"basenc","version_0.5",18
"basenc","version_0.6",17
"bash","version_0.4",2027
"bash","version_0.5",1601
"bash","version_0.6",0
