"","filename","version","vuln_count","date"
"1","airdecap-ng","version_3.1.1",0,2022-04-20
"2","airdecap-ng","version_3.0",0,2021-12-14
"3","airdecap-ng","version_2.2.1",0,2021-08-04
"4","airdecap-ng","version_2.2",0,2021-07-08
"5","airdecap-ng","version_2.1.post1",80,2021-04-27
"6","airdecap-ng","version_2.1",80,2020-12-07
"7","airdecap-ng","version_2.0",80,2020-11-12
"8","airdecap-ng","version_1.1",80,2020-10-15
"9","airdecap-ng","version_1.0",0,2020-04-30
"10","grub-mkpasswd-pbkdf2","version_3.1.1",21,2022-04-20
"11","grub-mkpasswd-pbkdf2","version_3.0",21,2021-12-14
"12","grub-mkpasswd-pbkdf2","version_2.2.1",21,2021-08-04
"13","grub-mkpasswd-pbkdf2","version_2.2",21,2021-07-08
"14","grub-mkpasswd-pbkdf2","version_2.1.post1",80,2021-04-27
"15","grub-mkpasswd-pbkdf2","version_2.1",80,2020-12-07
"16","grub-mkpasswd-pbkdf2","version_2.0",80,2020-11-12
"17","grub-mkpasswd-pbkdf2","version_1.1",80,2020-10-15
"18","grub-mkpasswd-pbkdf2","version_1.0",0,2020-04-30
"19","lsciphers","version_3.1.1",0,2022-04-20
"20","lsciphers","version_3.0",0,2021-12-14
"21","lsciphers","version_2.2.1",0,2021-08-04
"22","lsciphers","version_2.2",0,2021-07-08
"23","lsciphers","version_2.1.post1",0,2021-04-27
"24","lsciphers","version_2.1",0,2020-12-07
"25","lsciphers","version_2.0",0,2020-11-12
"26","lsciphers","version_1.1",0,2020-10-15
"27","lsciphers","version_1.0",0,2020-04-30
"28","top","version_3.1.1",0,2022-04-20
"29","top","version_3.0",0,2021-12-14
"30","top","version_2.2.1",0,2021-08-04
"31","top","version_2.2",0,2021-07-08
"32","top","version_2.1.post1",80,2021-04-27
"33","top","version_2.1",80,2020-12-07
"34","top","version_2.0",80,2020-11-12
"35","top","version_1.1",80,2020-10-15
"36","top","version_1.0",0,2020-04-30
"37","vim.tiny","version_3.1.1",0,2022-04-20
"38","vim.tiny","version_3.0",0,2021-12-14
"39","vim.tiny","version_2.2.1",0,2021-08-04
"40","vim.tiny","version_2.2",0,2021-07-08
"41","vim.tiny","version_2.1.post1",80,2021-04-27
"42","vim.tiny","version_2.1",80,2020-12-07
"43","vim.tiny","version_2.0",80,2020-11-12
"44","vim.tiny","version_1.1",80,2020-10-15
"45","vim.tiny","version_1.0",0,2020-04-30
"46","preconv","version_3.1.1",0,2022-04-20
"47","preconv","version_3.0",0,2021-12-14
"48","preconv","version_2.2.1",0,2021-08-04
"49","preconv","version_2.2",0,2021-07-08
"50","preconv","version_2.1.post1",80,2021-04-27
"51","preconv","version_2.1",80,2020-12-07
"52","preconv","version_2.0",80,2020-11-12
"53","preconv","version_1.1",80,2020-10-15
"54","preconv","version_1.0",0,2020-04-30
"55","hexeditor","version_3.1.1",0,2022-04-20
"56","hexeditor","version_3.0",0,2021-12-14
"57","hexeditor","version_2.2.1",0,2021-08-04
"58","hexeditor","version_2.2",0,2021-07-08
"59","hexeditor","version_2.1.post1",80,2021-04-27
"60","hexeditor","version_2.1",80,2020-12-07
"61","hexeditor","version_2.0",80,2020-11-12
"62","hexeditor","version_1.1",80,2020-10-15
"63","hexeditor","version_1.0",0,2020-04-30
"64","post_spike","version_3.1.1",0,2022-04-20
"65","post_spike","version_3.0",0,2021-12-14
"66","post_spike","version_2.2.1",0,2021-08-04
"67","post_spike","version_2.2",0,2021-07-08
"68","post_spike","version_2.1.post1",80,2021-04-27
"69","post_spike","version_2.1",80,2020-12-07
"70","post_spike","version_2.0",80,2020-11-12
"71","post_spike","version_1.1",80,2020-10-15
"72","post_spike","version_1.0",0,2020-04-30
"73","minicom","version_3.1.1",0,2022-04-20
"74","minicom","version_3.0",0,2021-12-14
"75","minicom","version_2.2.1",0,2021-08-04
"76","minicom","version_2.2",0,2021-07-08
"77","minicom","version_2.1.post1",90,2021-04-27
"78","minicom","version_2.1",90,2020-12-07
"79","minicom","version_2.0",90,2020-11-12
"80","minicom","version_1.1",90,2020-10-15
"81","minicom","version_1.0",0,2020-04-30
"82","ntpq","version_3.1.1",78,2022-04-20
"83","ntpq","version_3.0",78,2021-12-14
"84","ntpq","version_2.2.1",34,2021-08-04
"85","ntpq","version_2.2",34,2021-07-08
"86","ntpq","version_2.1.post1",74,2021-04-27
"87","ntpq","version_2.1",74,2020-12-07
"88","ntpq","version_2.0",74,2020-11-12
"89","ntpq","version_1.1",74,2020-10-15
"90","ntpq","version_1.0",0,2020-04-30
"91","split","version_3.1.1",0,2022-04-20
"92","split","version_3.0",0,2021-12-14
"93","split","version_2.2.1",0,2021-08-04
"94","split","version_2.2",0,2021-07-08
"95","split","version_2.1.post1",80,2021-04-27
"96","split","version_2.1",80,2020-12-07
"97","split","version_2.0",80,2020-11-12
"98","split","version_1.1",80,2020-10-15
"99","split","version_1.0",0,2020-04-30
"100","chsh","version_3.1.1",0,2022-04-20
"101","chsh","version_3.0",0,2021-12-14
"102","chsh","version_2.2.1",0,2021-08-04
"103","chsh","version_2.2",0,2021-07-08
"104","chsh","version_2.1.post1",90,2021-04-27
"105","chsh","version_2.1",90,2020-12-07
"106","chsh","version_2.0",90,2020-11-12
"107","chsh","version_1.1",90,2020-10-15
"108","chsh","version_1.0",0,2020-04-30
"109","gpgtar","version_3.1.1",0,2022-04-20
"110","gpgtar","version_3.0",0,2021-12-14
"111","gpgtar","version_2.2.1",0,2021-08-04
"112","gpgtar","version_2.2",0,2021-07-08
"113","gpgtar","version_2.1.post1",39,2021-04-27
"114","gpgtar","version_2.1",39,2020-12-07
"115","gpgtar","version_2.0",39,2020-11-12
"116","gpgtar","version_1.1",39,2020-10-15
"117","gpgtar","version_1.0",0,2020-04-30
"118","btrfs","version_3.1.1",0,2022-04-20
"119","btrfs","version_3.0",0,2021-12-14
"120","btrfs","version_2.2.1",0,2021-08-04
"121","btrfs","version_2.2",0,2021-07-08
"122","btrfs","version_2.1.post1",97,2021-04-27
"123","btrfs","version_2.1",97,2020-12-07
"124","btrfs","version_2.0",97,2020-11-12
"125","btrfs","version_1.1",97,2020-10-15
"126","btrfs","version_1.0",0,2020-04-30
"127","sb","version_3.1.1",0,2022-04-20
"128","sb","version_3.0",0,2021-12-14
"129","sb","version_2.2.1",0,2021-08-04
"130","sb","version_2.2",0,2021-07-08
"131","sb","version_2.1.post1",90,2021-04-27
"132","sb","version_2.1",90,2020-12-07
"133","sb","version_2.0",90,2020-11-12
"134","sb","version_1.1",90,2020-10-15
"135","sb","version_1.0",0,2020-04-30
"136","kismetdb_statistics","version_3.1.1",0,2022-04-20
"137","kismetdb_statistics","version_3.0",0,2021-12-14
"138","kismetdb_statistics","version_2.2.1",0,2021-08-04
"139","kismetdb_statistics","version_2.2",0,2021-07-08
"140","kismetdb_statistics","version_2.1.post1",80,2021-04-27
"141","kismetdb_statistics","version_2.1",80,2020-12-07
"142","kismetdb_statistics","version_2.0",80,2020-11-12
"143","kismetdb_statistics","version_1.1",80,2020-10-15
"144","kismetdb_statistics","version_1.0",0,2020-04-30
"145","grub-file","version_3.1.1",0,2022-04-20
"146","grub-file","version_3.0",0,2021-12-14
"147","grub-file","version_2.2.1",0,2021-08-04
"148","grub-file","version_2.2",0,2021-07-08
"149","grub-file","version_2.1.post1",80,2021-04-27
"150","grub-file","version_2.1",80,2020-12-07
"151","grub-file","version_2.0",80,2020-11-12
"152","grub-file","version_1.1",80,2020-10-15
"153","grub-file","version_1.0",0,2020-04-30
"154","gpgv","version_3.1.1",0,2022-04-20
"155","gpgv","version_3.0",0,2021-12-14
"156","gpgv","version_2.2.1",0,2021-08-04
"157","gpgv","version_2.2",0,2021-07-08
"158","gpgv","version_2.1.post1",39,2021-04-27
"159","gpgv","version_2.1",39,2020-12-07
"160","gpgv","version_2.0",39,2020-11-12
"161","gpgv","version_1.1",39,2020-10-15
"162","gpgv","version_1.0",0,2020-04-30
"163","man","version_3.1.1",0,2022-04-20
"164","man","version_3.0",0,2021-12-14
"165","man","version_2.2.1",0,2021-08-04
"166","man","version_2.2",0,2021-07-08
"167","man","version_2.1.post1",26,2021-04-27
"168","man","version_2.1",26,2020-12-07
"169","man","version_2.0",26,2020-11-12
"170","man","version_1.1",26,2020-10-15
"171","man","version_1.0",0,2020-04-30
"172","atk6-fuzz_ip6","version_3.1.1",0,2022-04-20
