"","filename","version","vuln_count","date"
"1","3proxy","version_0.4",969,"2021-01-07"
"2","3proxy","version_0.5",70,"2021-07-05"
"3","3proxy","version_0.6",73,"2022-06-10"
"4","ab","version_0.4",44,"2021-01-07"
"5","ab","version_0.5",9,"2021-07-05"
"6","ab","version_0.6",9,"2022-06-10"
"7","ag","version_0.4",2206,"2021-01-07"
"8","ag","version_0.5",69,"2021-07-05"
"9","ag","version_0.6",164,"2022-06-10"
"10","airdecap-ng","version_0.4",174,"2021-01-07"
"11","airdecap-ng","version_0.5",96,"2021-07-05"
"12","airdecap-ng","version_0.6",54,"2022-06-10"
"13","airolib-ng","version_0.4",93,"2021-01-07"
"14","airolib-ng","version_0.5",41,"2021-07-05"
"15","airolib-ng","version_0.6",41,"2022-06-10"
"16","apt-cache","version_0.4",331,"2021-01-07"
"17","apt-cache","version_0.5",86,"2021-07-05"
"18","apt-cache","version_0.6",115,"2022-06-10"
"19","apt-ftparchive","version_0.4",1084,"2021-01-07"
"20","apt-ftparchive","version_0.5",433,"2021-07-05"
"21","apt-ftparchive","version_0.6",420,"2022-06-10"
"22","apt-mark","version_0.4",102,"2021-01-07"
"23","apt-mark","version_0.5",40,"2021-07-05"
"24","apt-mark","version_0.6",38,"2022-06-10"
"25","ar","version_0.4",2500,"2021-01-07"
"26","ar","version_0.5",0,"2021-07-05"
"27","ar","version_0.6",0,"2022-06-10"
"28","aria_chk","version_0.4",0,"2021-01-07"
"29","aria_chk","version_0.5",0,"2021-07-05"
"30","aria_chk","version_0.6",0,"2022-06-10"
"31","aria_dump_log","version_0.4",3299,"2021-01-07"
"32","aria_dump_log","version_0.5",807,"2021-07-05"
"33","aria_dump_log","version_0.6",944,"2022-06-10"
"34","aria_ftdump","version_0.4",3350,"2021-01-07"
"35","aria_ftdump","version_0.5",824,"2021-07-05"
"36","aria_ftdump","version_0.6",969,"2022-06-10"
"37","aria_pack","version_0.4",3402,"2021-01-07"
"38","aria_pack","version_0.5",819,"2021-07-05"
"39","aria_pack","version_0.6",983,"2022-06-10"
"40","aria_read_log","version_0.4",3987,"2021-01-07"
"41","aria_read_log","version_0.5",869,"2021-07-05"
"42","aria_read_log","version_0.6",1058,"2022-06-10"
"43","arj","version_0.4",437,"2021-01-07"
"44","arj","version_0.5",310,"2021-07-05"
"45","arj","version_0.6",297,"2022-06-10"
"46","aspell","version_0.4",605,"2021-01-07"
"47","aspell","version_0.5",246,"2021-07-05"
"48","aspell","version_0.6",333,"2022-06-10"
"49","atk6-alive6","version_0.4",0,"2021-01-07"
"50","atk6-alive6","version_0.5",0,"2021-07-05"
"51","atk6-alive6","version_0.6",0,"2022-06-10"
"52","atk6-dnsdict6","version_0.4",0,"2021-01-07"
"53","atk6-dnsdict6","version_0.5",0,"2021-07-05"
"54","atk6-dnsdict6","version_0.6",0,"2022-06-10"
"55","atk6-fake_router26","version_0.4",95,"2021-01-07"
"56","atk6-fake_router26","version_0.5",104,"2021-07-05"
"57","atk6-fake_router26","version_0.6",113,"2022-06-10"
"58","atk6-firewall6","version_0.4",87,"2021-01-07"
"59","atk6-firewall6","version_0.5",95,"2021-07-05"
"60","atk6-firewall6","version_0.6",94,"2022-06-10"
"61","atk6-fragmentation6","version_0.4",22,"2021-01-07"
"62","atk6-fragmentation6","version_0.5",0,"2021-07-05"
"63","atk6-fragmentation6","version_0.6",0,"2022-06-10"
"64","atk6-fragrouter6","version_0.4",76,"2021-01-07"
"65","atk6-fragrouter6","version_0.5",84,"2021-07-05"
"66","atk6-fragrouter6","version_0.6",109,"2022-06-10"
"67","atk6-fuzz_dhcps6","version_0.4",92,"2021-01-07"
"68","atk6-fuzz_dhcps6","version_0.5",111,"2021-07-05"
"69","atk6-fuzz_dhcps6","version_0.6",107,"2022-06-10"
"70","atk6-fuzz_ip6","version_0.4",84,"2021-01-07"
"71","atk6-fuzz_ip6","version_0.5",115,"2021-07-05"
"72","atk6-fuzz_ip6","version_0.6",126,"2022-06-10"
