"","version_0.4","version_0.5","version_0.6","filename"
"3proxy",969,70,73,"3proxy"
"ab",44,9,9,"ab"
"ag",2206,69,164,"ag"
"airdecap-ng",174,96,54,"airdecap-ng"
"airolib-ng",93,41,41,"airolib-ng"
"apt-cache",331,86,115,"apt-cache"
"apt-ftparchive",1084,433,420,"apt-ftparchive"
"apt-mark",102,40,38,"apt-mark"
"ar",2500,0,0,"ar"
"aria_chk",0,0,0,"aria_chk"
"aria_dump_log",3299,807,944,"aria_dump_log"
"aria_ftdump",3350,824,969,"aria_ftdump"
"aria_pack",3402,819,983,"aria_pack"
"aria_read_log",3987,869,1058,"aria_read_log"
"arj",437,310,297,"arj"
"aspell",605,246,333,"aspell"
"atk6-alive6",0,0,0,"atk6-alive6"
"atk6-dnsdict6",0,0,0,"atk6-dnsdict6"
"atk6-fake_router26",95,104,113,"atk6-fake_router26"
"atk6-firewall6",87,95,94,"atk6-firewall6"
"atk6-fragmentation6",22,0,0,"atk6-fragmentation6"
"atk6-fragrouter6",76,84,109,"atk6-fragrouter6"
"atk6-fuzz_dhcps6",92,111,107,"atk6-fuzz_dhcps6"
"atk6-fuzz_ip6",84,115,126,"atk6-fuzz_ip6"
"atk6-implementation6",81,119,103,"atk6-implementation6"
"atk6-thcping6",0,0,0,"atk6-thcping6"
"atk6-trace6",118,82,84,"atk6-trace6"
"atril",0,0,0,"atril"
"atril-previewer",21,1,1,"atril-previewer"
"axel",164,43,44,"axel"
"b2sum",32,24,29,"b2sum"
"basenc",19,18,17,"basenc"
"bash",2025,1599,0,"bash"
"bccmd",63,42,40,"bccmd"
"bitmap",467,32,32,"bitmap"
"bluemoon",17,51,9,"bluemoon"
"bluetoothctl",261,106,56,"bluetoothctl"
"bootctl",66,41,39,"bootctl"
"broadwayd",73,11,12,"broadwayd"
"btattach",19,65,13,"btattach"
"btmgmt",188,152,105,"btmgmt"
"btmon",333,185,68,"btmon"
"btrfs",1572,0,437,"btrfs"
