"","version_3.1.1","version_3.0","version_2.2.1","version_2.2","version_2.1.post1","version_2.1","version_2.0","version_1.1","version_1.0","filename"
"airdecap-ng",0,0,0,0,80,80,80,80,0,"airdecap-ng"
"grub-mkpasswd-pbkdf2",21,21,21,21,80,80,80,80,0,"grub-mkpasswd-pbkdf2"
"lsciphers",0,0,0,0,0,0,0,0,0,"lsciphers"
"top",0,0,0,0,80,80,80,80,0,"top"
"vim.tiny",0,0,0,0,80,80,80,80,0,"vim.tiny"
"preconv",0,0,0,0,80,80,80,80,0,"preconv"
"hexeditor",0,0,0,0,80,80,80,80,0,"hexeditor"
"post_spike",0,0,0,0,80,80,80,80,0,"post_spike"
"minicom",0,0,0,0,90,90,90,90,0,"minicom"
"ntpq",78,78,34,34,74,74,74,74,0,"ntpq"
"split",0,0,0,0,80,80,80,80,0,"split"
"chsh",0,0,0,0,90,90,90,90,0,"chsh"
"gpgtar",0,0,0,0,39,39,39,39,0,"gpgtar"
"btrfs",0,0,0,0,97,97,97,97,0,"btrfs"
"sb",0,0,0,0,90,90,90,90,0,"sb"
"kismetdb_statistics",0,0,0,0,80,80,80,80,0,"kismetdb_statistics"
"grub-file",0,0,0,0,80,80,80,80,0,"grub-file"
"gpgv",0,0,0,0,39,39,39,39,0,"gpgv"
"man",0,0,0,0,26,26,26,26,0,"man"
"atk6-fuzz_ip6",0,0,0,0,80,80,80,80,0,"atk6-fuzz_ip6"
"g-ir-compiler",0,0,0,0,19,19,19,19,0,"g-ir-compiler"
"rctest",0,0,0,0,80,80,80,80,0,"rctest"
"networkctl",0,0,0,0,34,34,34,34,0,"networkctl"
"svn",0,0,0,0,80,80,80,80,0,"svn"
"vim",0,0,0,0,0,0,0,0,0,"vim"
"quake",0,0,0,0,80,80,80,80,0,"quake"
"mate-calc",0,0,0,0,19,19,19,19,0,"mate-calc"
"zenity",0,0,0,0,99,99,99,99,0,"zenity"
"ophcrack-cli",0,0,0,0,19,19,19,19,0,"ophcrack-cli"
"mariadb-check",46,46,46,46,126,126,126,126,0,"mariadb-check"
"systemd-tmpfiles",0,0,0,0,80,80,80,80,0,"systemd-tmpfiles"
"mandb",0,0,0,0,26,26,26,26,0,"mandb"
"bully",0,0,0,0,80,80,80,80,0,"bully"
"desktop-file-install",0,0,0,0,91,91,91,91,0,"desktop-file-install"
"sharkd",0,0,0,0,80,80,80,80,0,"sharkd"
"xdg-dbus-proxy",0,0,0,0,80,80,80,80,0,"xdg-dbus-proxy"
"tshark",0,0,0,0,80,80,80,80,0,"tshark"
"shuf",0,0,0,0,39,39,39,39,0,"shuf"
"bwrap",0,0,0,0,75,75,75,75,0,"bwrap"
"ntpdc",78,78,34,34,74,74,74,74,0,"ntpdc"
"pv",4,4,0,0,0,0,0,0,0,"pv"
"yasm",4,4,0,0,0,0,0,0,0,"yasm"
"x86_64-linux-gnu-gcov-dump-10",0,0,0,0,80,80,80,80,0,"x86_64-linux-gnu-gcov-dump-10"
"groff",0,0,0,0,80,80,80,80,0,"groff"
"mkfifo",0,0,0,0,80,80,80,80,0,"mkfifo"
"tcprewrite",0,0,0,0,80,80,80,80,0,"tcprewrite"
"xfwm4",0,0,0,0,19,19,19,19,0,"xfwm4"
"gpgcompose",0,0,0,0,39,39,39,39,0,"gpgcompose"
"hexdump",0,0,0,0,80,80,80,80,0,"hexdump"
"aria_chk",0,0,0,0,19,19,19,19,0,"aria_chk"
"lspci",0,0,0,0,80,80,80,80,0,"lspci"
"bluetoothctl",0,0,0,0,80,80,80,80,0,"bluetoothctl"
"nmblookup",18,18,18,18,98,98,98,98,0,"nmblookup"
"mpris-proxy",0,0,0,0,99,99,99,99,0,"mpris-proxy"
"wget",0,0,0,0,80,80,80,80,0,"wget"
"VBoxClient",0,0,0,0,76,76,76,76,0,"VBoxClient"
"svnserve",0,0,0,0,91,91,91,91,0,"svnserve"
"xfce4-clipman",0,0,0,0,91,91,91,91,0,"xfce4-clipman"
"editres",0,0,0,0,80,80,80,80,0,"editres"
"grub-render-label",21,21,21,21,80,80,80,80,0,"grub-render-label"
"cluster",0,0,0,0,19,19,19,19,0,"cluster"
"aria_pack",0,0,0,0,19,19,19,19,0,"aria_pack"
"xhydra",0,0,0,0,74,74,74,74,0,"xhydra"
"etterfilter",0,0,0,0,80,80,80,80,0,"etterfilter"
"whirlpooldeep",0,0,0,0,80,80,80,80,0,"whirlpooldeep"
"ristretto",0,0,0,0,99,99,99,99,0,"ristretto"
"cifsdd",18,18,18,18,117,117,117,117,0,"cifsdd"
"xclock",0,0,0,0,99,99,99,99,0,"xclock"
