binary,size,compiler,static,domain
3proxy,300624,gcc(Alpine),FALSE,Network
ab,59744,Unk,FALSE,Network
ag,355576,gcc(-),TRUE,System
aircrack-ng,173368,gcc(3.X),FALSE,Network
airdecap-ng,63640,Unk,FALSE,System
airolib-ng,71912,Unk,FALSE,System
apt-cache,88376,gcc(3.X),FALSE,Network
apt-ftparchive,276800,gcc(3.X),FALSE,Network
apt-mark,51512,gcc(3.X),FALSE,System
ar,1195384,gcc(GNU),TRUE,System
aria_chk,4484240,gcc(-),FALSE,System
aria_dump_log,4277296,gcc(-),FALSE,System
aria_ftdump,4293840,gcc(-),FALSE,System
aria_pack,4319984,gcc(-),FALSE,System
aria_read_log,4438704,gcc(-),FALSE,System
arj,394283,Unk,FALSE,System
aspell,162144,Unk,FALSE,System
atk6-alive6,81704,Unk,FALSE,Network
atk6-dnsdict6,994720,Unk,FALSE,Network
atk6-fake_router26,55248,Unk,FALSE,Network
atk6-firewall6,75696,Unk,FALSE,Network
atk6-fragmentation6,71624,Unk,FALSE,Network
atk6-fragrouter6,51152,Unk,FALSE,Network
atk6-fuzz_dhcps6,52464,Unk,FALSE,Network
atk6-fuzz_ip6,52040,Unk,FALSE,Network
atk6-implementation6,79792,Unk,FALSE,Network
atk6-thcping6,55240,Unk,FALSE,Network
atk6-trace6,51136,Unk,FALSE,Network
atril,481648,Unk,FALSE,System
atril-previewer,51568,Unk,FALSE,System
axel,68200,Unk,FALSE,Network
b2sum,60352,Unk,FALSE,System
basenc,56160,Unk,FALSE,System
bash,1113504,Unk,FALSE,System
bccmd,242160,Unk,FALSE,Network
bitmap,109528,Unk,FALSE,System
bluemoon,92392,Unk,FALSE,Network
bluetoothctl,260816,Unk,FALSE,Network
bootctl,63832,Unk,FALSE,System
broadwayd,121064,Unk,FALSE,Network
btattach,88296,Unk,FALSE,Network
btmgmt,368608,Unk,FALSE,Network
btmon,876728,Unk,FALSE,Network
btrfs-image,396432,Unk,FALSE,System
bulk_extractor,5172920,gcc(3.X),FALSE,System
bully,163792,Unk,FALSE,Network
busctl,84312,Unk,FALSE,Network
bwrap,59680,Unk,FALSE,System
cadaver,115808,Unk,FALSE,Network
cgpt,63760,Unk,TRUE,System
chage,80256,Unk,FALSE,System
chcon,72768,Unk,FALSE,System
cherrytree,5051680,gcc(3.X),FALSE,System
chfn,58416,Unk,FALSE,System
chgrp,63672,Unk,FALSE,System
chmod,59608,Unk,FALSE,System
choom,51432,Unk,FALSE,System
chown,67768,Unk,FALSE,System
chsh,52880,Unk,FALSE,System
cifsdd,90520,Unk,FALSE,Network
ciptool,190224,Unk,FALSE,System
citrix,72184,Unk,FALSE,Network
cjpeg,51456,Unk,FALSE,System
closed_source_web_server_fuzz,63992,Unk,FALSE,Network
cluster,565816,Unk,FALSE,System
colormgr,55448,Unk,FALSE,System
column,51440,Unk,FALSE,System
corkscrew,59488,gcc(Alpine),FALSE,Network
cp,141528,Unk,FALSE,System
cpio,157224,Unk,FALSE,System
crunch,59384,Unk,FALSE,System
csplit,121920,Unk,FALSE,System
curl,256072,gcc(Alpine),TRUE,Network
curlftpfs,61984,Unk,FALSE,Network
cutycapt,51440,gcc(3.X),FALSE,System
cvtsudoers,281576,Unk,FALSE,System
dash,121432,Unk,FALSE,System
date,100568,Unk,FALSE,System
dbd,51928,gcc(-),FALSE,System
dbus-daemon,244928,Unk,FALSE,System
dceoversmb,68104,Unk,FALSE,Network
dd,76000,Unk,FALSE,System
desktop-file-install,94520,Unk,FALSE,System
desktop-file-validate,82480,Unk,FALSE,System
df,84776,Unk,FALSE,System
diff,208320,Unk,FALSE,System
diff3,64512,Unk,FALSE,System
dig,133792,Unk,FALSE,Network
dir,133792,Unk,FALSE,System
dirb,66360,Unk,FALSE,System
dirmngr,579216,Unk,FALSE,Network
dirmngr-client,109344,Unk,FALSE,Network
dmesg,72000,Unk,FALSE,System
dns2tcpc,59736,Unk,FALSE,Network
dns2tcpd,59680,Unk,FALSE,Network
dos2unix,55464,Unk,FALSE,System
do_post,63992,Unk,FALSE,Network
dpkg,313888,Unk,FALSE,System
dpkg-deb,162184,Unk,FALSE,System
dpkg-divert,154048,Unk,FALSE,System
dpkg-query,166328,Unk,FALSE,System
dpkg-split,125272,Unk,FALSE,System
dpkg-statoverride,63608,Unk,FALSE,System
dpkg-trigger,80216,Unk,FALSE,System
du,175360,Unk,FALSE,System
dumpcap,117088,Unk,FALSE,Network
dumpkeys,170520,Unk,FALSE,System
ed,51512,Unk,FALSE,System
edgepaint,422160,Unk,FALSE,System
editcap,59488,Unk,FALSE,Network
editres,75296,Unk,FALSE,System
eject,79952,Unk,FALSE,System
engrampa,484264,Unk,FALSE,System
eqn,206176,gcc(3.X),FALSE,System
etterfilter,56208,Unk,FALSE,System
etterlog,52448,Unk,FALSE,System
exiv2,229256,gcc(3.X),FALSE,System
exo-desktop-item-edit,80600,Unk,FALSE,System
expr,117728,Unk,FALSE,System
factor,81056,Unk,FALSE,System
fastjar,51872,Unk,FALSE,System
fidentify,328008,Unk,FALSE,System
